problem,instance,algorithm,config_label,evaluations,mean_cost,std_cost
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29277,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29398,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29518,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29639,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29759,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",29880,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=2",30000,7726.133333333333,158.42805587675716
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",0,11650.666666666666,683.7819990481048
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",120,10363.408835341366,336.2010117291994
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",241,9782.084337349399,345.8928147833092
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",361,9359.371084337348,200.82189848161363
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",482,9075.963052208834,235.44807798154315
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",602,8887.921285140561,199.3474550284645
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",723,8568.261847389558,294.6979027286748
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",843,8362.269879518071,266.7430929142453
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",964,8168.829718875501,241.92428687902762
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1084,8028.089959839358,197.16975253567387
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1205,7983.371084337349,176.39074153462215
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1325,7946.936546184738,166.92246010630362
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1446,7931.0,178.69937511549017
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1566,7916.89718875502,170.18211893327475
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1687,7875.35983935743,152.6979929079366
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1807,7850.6,166.975367444822
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",1928,7824.8,164.8474850682695
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2048,7812.345381526105,167.8864963601004
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2169,7803.6,166.693251213119
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2289,7803.6,166.693251213119
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2410,7784.610441767069,161.56494982628735
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2530,7779.999196787148,159.2308823834574
tsp,berlin52,MMAS,"rho=0.05, ants=10, beta=3",2651,7764.0,169.4375007684741
