problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
leadingones,single_point,100,5,25,3,10455,418,100,True,0.08837103843688965
leadingones,single_point,100,5,25,4,10505,420,100,True,0.08828115463256836
leadingones,single_point,100,5,25,5,7255,290,100,True,0.060842037200927734
leadingones,single_point,100,5,25,6,12605,504,100,True,0.10494279861450195
leadingones,single_point,100,5,25,7,9580,383,100,True,0.07927227020263672
leadingones,single_point,100,5,25,8,9955,398,100,True,0.08305478096008301
leadingones,single_point,100,5,25,9,9555,382,100,True,0.07982778549194336
leadingones,single_point,100,5,25,10,10380,415,100,True,0.08793973922729492
leadingones,single_point,100,5,25,11,8305,332,100,True,0.06894111633300781
leadingones,single_point,100,5,25,12,8155,326,100,True,0.07712292671203613
leadingones,single_point,100,5,25,13,9230,369,100,True,0.0965721607208252
leadingones,single_point,100,5,25,14,9955,398,100,True,0.0831761360168457
leadingones,single_point,100,5,25,15,9930,397,100,True,0.08125805854797363
leadingones,single_point,100,5,25,16,12805,512,100,True,0.10701894760131836
leadingones,single_point,100,5,25,17,11055,442,100,True,0.09261703491210938
leadingones,single_point,100,5,25,18,8030,321,100,True,0.06833171844482422
leadingones,single_point,100,5,25,19,8780,351,100,True,0.07382512092590332
leadingones,single_point,100,5,25,20,10880,435,100,True,0.09016704559326172
leadingones,single_point,100,5,25,21,13155,526,100,True,0.11125707626342773
leadingones,single_point,100,5,25,22,8930,357,100,True,0.07308697700500488
leadingones,single_point,100,5,25,23,11955,478,100,True,0.10071396827697754
leadingones,single_point,100,5,25,24,10605,424,100,True,0.08886981010437012
leadingones,single_point,100,5,25,25,12505,500,100,True,0.10477304458618164
leadingones,single_point,100,5,25,26,7480,299,100,True,0.061681270599365234
leadingones,single_point,100,5,25,27,9905,396,100,True,0.08391809463500977
leadingones,single_point,100,5,25,28,10505,420,100,True,0.08707594871520996
leadingones,single_point,100,5,25,29,6755,270,100,True,0.05639386177062988
leadingones,single_point,100,5,25,30,7355,294,100,True,0.06185483932495117
leadingones,single_point,100,5,25,31,10405,416,100,True,0.08745908737182617
leadingones,single_point,100,5,25,32,8705,348,100,True,0.07272815704345703
leadingones,single_point,100,5,25,33,8880,355,100,True,0.0739448070526123
leadingones,single_point,100,5,25,34,9205,368,100,True,0.07705807685852051
leadingones,single_point,100,5,25,35,11230,449,100,True,0.09456896781921387
leadingones,single_point,100,5,25,36,7380,295,100,True,0.06231975555419922
leadingones,single_point,100,5,25,37,9730,389,100,True,0.0820159912109375
leadingones,single_point,100,5,25,38,5855,234,100,True,0.04800701141357422
leadingones,single_point,100,5,25,39,9805,392,100,True,0.08183503150939941
leadingones,single_point,100,5,25,40,9280,371,100,True,0.07452702522277832
leadingones,single_point,100,5,25,41,10880,435,100,True,0.08887124061584473
leadingones,single_point,100,5,25,42,10130,405,100,True,0.08236002922058105
leadingones,single_point,100,5,25,43,10405,416,100,True,0.08517599105834961
leadingones,single_point,100,5,25,44,12205,488,100,True,0.10054564476013184
leadingones,single_point,100,5,25,45,7580,303,100,True,0.06133008003234863
leadingones,single_point,100,5,25,46,9480,379,100,True,0.07655191421508789
leadingones,single_point,100,5,25,47,9730,389,100,True,0.08028221130371094
leadingones,single_point,100,5,25,48,12180,487,100,True,0.1011037826538086
leadingones,single_point,100,5,25,49,8905,356,100,True,0.07470989227294922
leadingones,two_point,100,5,25,0,9930,397,100,True,0.0869910717010498
leadingones,two_point,100,5,25,1,9305,372,100,True,0.0811920166015625
leadingones,two_point,100,5,25,2,12280,491,100,True,0.10805892944335938
leadingones,two_point,100,5,25,3,8455,338,100,True,0.07354974746704102
leadingones,two_point,100,5,25,4,9730,389,100,True,0.08095216751098633
leadingones,two_point,100,5,25,5,10630,425,100,True,0.09299397468566895
leadingones,two_point,100,5,25,6,9680,387,100,True,0.08398294448852539
leadingones,two_point,100,5,25,7,10630,425,100,True,0.090972900390625
leadingones,two_point,100,5,25,8,9105,364,100,True,0.07865691184997559
leadingones,two_point,100,5,25,9,11005,440,100,True,0.09376096725463867
leadingones,two_point,100,5,25,10,9805,392,100,True,0.08440589904785156
leadingones,two_point,100,5,25,11,12380,495,100,True,0.10651993751525879
leadingones,two_point,100,5,25,12,8730,349,100,True,0.0755918025970459
leadingones,two_point,100,5,25,13,8530,341,100,True,0.0727701187133789
leadingones,two_point,100,5,25,14,8780,351,100,True,0.07595205307006836
leadingones,two_point,100,5,25,15,9480,379,100,True,0.08103704452514648
leadingones,two_point,100,5,25,16,10505,420,100,True,0.0920109748840332
leadingones,two_point,100,5,25,17,6155,246,100,True,0.05623292922973633
leadingones,two_point,100,5,25,18,7705,308,100,True,0.07235884666442871
leadingones,two_point,100,5,25,19,6280,251,100,True,0.06318902969360352
leadingones,two_point,100,5,25,20,8880,355,100,True,0.08054995536804199
leadingones,two_point,100,5,25,21,7805,312,100,True,0.07283997535705566
leadingones,two_point,100,5,25,22,9280,371,100,True,0.08655619621276855
leadingones,two_point,100,5,25,23,12455,498,100,True,0.11147308349609375
leadingones,two_point,100,5,25,24,9580,383,100,True,0.08127307891845703
leadingones,two_point,100,5,25,25,8880,355,100,True,0.07617688179016113
leadingones,two_point,100,5,25,26,11730,469,100,True,0.09947013854980469
leadingones,two_point,100,5,25,27,9180,367,100,True,0.07846307754516602
leadingones,two_point,100,5,25,28,9455,378,100,True,0.0798492431640625
leadingones,two_point,100,5,25,29,12030,481,100,True,0.10282015800476074
leadingones,two_point,100,5,25,30,6430,257,100,True,0.055181026458740234
